375,IFSPC@MPINAS,-22.936937,-47.066269,2.2,682.4,12:12:32,DRONE,-38
676,IFDZC@MQINCS,-2.466805,-47.920041,6.0,675.4,19:72:69,DRONE,-36
377,IFSPC@MPINAS,-22.936693,-47.066612,1.1,682.6,12:12:36,DRONE,-37
378,IFSPC@MPINAS,-22.936571,-47.066784,1.0,682.6,12:12:38,DRONE,-38
993,IXSPW@MPIHAZ,-32.725965,-47.367052,0.5,189.0,12:19:89,DRONE,-38
384,IPSXC@MPINAS,-12.924261,-7.067857,6.8,685.0,11:17:50,DRONE,-38
385,IFSPC@MPINAS,-22.935579,-47.067772,2.0,682.8,12:12:52,DRONE,-39
387,IFSPC@MPINAS,-22.935198,-47.067902,0.9,682.9,12:12:56,DRONE,-38
388,IFSPC@MPINAS,-22.935007,-47.067966,1.1,682.7,12:12:58,DRONE,-36
391,IFSPC@MPINAS,-22.934435,-47.068161,1.0,682.6,12:13:4,DRONE,-38
393,IFSPC@MPINAS,-53.0,-47.068291,1.6,682.8,12:13:8,DRONE,-37
394,IFSPC@MPINAS,-22.933863,-47.068356,1.0,682.8,12:13:10,DRONE,-37
395,NAIFSPC@MPINAS,-22.933691,-47.068245,1.1,682.5,12:13:12,DRONE,-38
396,IFSPC@MPINAS,-22.933519,-47.068134,1.9,682.4,12:13:14,DRONE,-35
397,IFSPC@MPINAS,-22.933348,-47.068024,1.4,682.6,12:13:16,DRONE,-39
398,IFC@MPINAS,-22.933176,-47.067913,1.3,682.3,12:SP13:18,DRONE,-39
399,IFSPC@MPINAS,-22.933004,-47.067802,1.7,682.1,12:13:20,DRONE,-39
400,IFSPC@MPINAS,-22.932833,-47.067692,1.1,682.0,12:13:22,DRONE,-45
401,IFSPC@MPINAS,-22.932661,-47.067581,1.7,682.1,12:13:24,DRONE,-44
403,IFSPC@MPINAS,-22.932318,-47.06736,2.1,682.4,12:13:28,DRONE,-44
404,IFWPC@RHNBPJ,-92.912086,-57.070279,6.1,652.6,46:18:90,DRONE,-39
405,IFSPC@MPINAS,-22.931974,-47.067139,0.9,682.6,12:13:32,DRONE,-39
406,IFSPC@MPINAS,-22.931776,-47.067169,1.8,682.7,12:13:34,DRONE,-38
407,IFSPC@MPINAS,-22.931578,-47.0672,2.0,682.9,12:13:36,DRONE,-38
408,IFSPC@MPINAS,-22.931379,-47.06723,1.3,683.1,12:13:38,DRONE,-37
409,IFSPC@MPINAS,-22.931181,-47.067261,1.1,683.1,12:13:40,DRONE,-38
410,OFKXC@APINAJ,-22.171584,-47.767224,9.1,683.3,18:43:62,DRONE,-38
411,IFSPC@MPINAS,-22.930784,-47.067322,1.8,683.1,12:13:44,DRONE,-39
412,IFSPC@MPINAS,-22.930586,-47.067352,1.1,683.3,12:13:46,DRONE,-38
413,IFSPC@MPINAS,-22.930387,-47.067383,2.0,683.5,12:13:48,DRONE,-38
415,IFSPC@MPINAS,-22.929991,-47.067444,1.5,683.6,12:13:52,DRONE,-38
416,IFSPC@MPINAS,-22.929792,-47.067474,0.9,683.7,12:13:54,DRONE,-39
417,IFSPC@MPINAS,-22.929613,-47.06757,1.3,683.6,12:13:56,DRONE,-38
419,IFSPC@MPINAS,-22.929255,-47.06776,1.8,683.6,12:14:0,DRONE,-39
420,NAS,-22.929075,-47.067856,1.8,683.4,12:14:2,DRONE,-38
751,IUIPM@FPINYS,-92.558796,-5.017954,9.0,660.5,62:14:4,DRONE,-39
